mood	occurrences
None	12603
	1110
happy	139
admiration	133
cheerful	96
accomplished	89
cheeky	61
excited	59
amused	59
blissful	58
affectionate	57
grateful	55
thankful	53
loved	51
alegre	47
alone	47
hopeful	46
calm	37
bored	36
blah	36
determined	33
lovable	32
content	31
afortunado	30
sad	30
adorable	29
sleepy	29
tired	27
good	27
peaceful	26
feliz	26
confused	24
flirty	24
Loved	24
energetic	24
awake	24
annoyed	24
hungry	24
anxious	23
ecstatic	22
crazy	22
bouncy	21
bittersweet	20
Happy	20
relaxed	20
Accepted	20
entusiasmado	19
lazy	18
cold	18
animado	17
contento	17
accepted	17
mellow	16
majestic	16
ansioso	16
Amused	16
indescribable	16
Cheerful	16
Cheeky	16
Thankful	15
giggly	15
impressed	15
jammy	15
dirty	15
Blah	15
exhausted	15
agradecido	15
depressed	14
lonely	14
crappy	13
pleased	13
impatient	13
divertido	13
blank	13
okay	13
afectuoso	13
Tired	13
numb	12
crushed	12
curious	12
high	12
drunk	11
chipper	11
full	11
bitchy	11
Excited	11
slothy	11
Calm	10
hyper	10
blue	10
esperanzado	10
Sleepy	10
Accomplished	10
jealous	9
Bored	9
alocado	9
amusé	9
bashful	9
satisfied	9
Alone	9
weird	9
drained	9
Energetic	8
pissed off	8
Hopeful	8
dorky	8
ashamed	8
Anxious	8
aggravated	8
Awake	8
calme	7
sick	7
frustrated	7
elated	7
enérgico	7
wicked	7
encantado	7
admiración	7
Depressed	6
baffled	6
optimistic	6
Flirty	6
Bittersweet	6
restless	6
optimista	6
dark	6
stressed	6
touched	6
bewildered	6
Good	6
Bouncy	6
complacido	6
Grateful	6
Peaceful	6
dankbaar	6
royal	5
sexy	5
uncomfortable	5
Exhausted	5
amado	5
refreshed	5
Relaxed	5
Silly	5
defeated	5
Confused	5
surprised	5
giddy	5
mischievous	5
alleen	5
Lazy	5
moody	5
doux-amer	4
irritated	4
Blissful	4
slaperig	4
untouchable	4
blij	4
Dirty	4
aburrido	4
Okay	4
nerdy	4
Curious	4
Pissed off	4
disappointed	4
Divertido	4
Melancholy	4
Sad	4
Alegre	4
Drunk	4
agotado	4
Slothy	4
satisfecho	4
magnífico	4
devious	4
bienheureux	4
affectueux	3
silly	3
aliviado	3
confundido	3
くつろいだ	3
heureux	3
melancholy	3
discontent	3
triste	3
aceptado	3
énergique 	3
Bitchy	3
angry	3
Jealous	3
Satisfied	3
endormi	3
impaciente	3
shocked	3
vencido	3
gloomy	3
Giggly	3
sympathetic	3
agridulce	3
accompli	3
sorprendido	3
Hungry	3
ditzy	3
melancólico	3
Moody	3
Crazy	3
cansado	3
Drained	3
envious	3
alterado	3
Lonely	3
Touched	3
Disappointed	3
Dark	3
Uncomfortable	3
begeistert	3
aimé	3
geeky	3
aletargado	3
relajado	2
enthousiaste	2
hambriento	2
majestuoso	2
fröhlich	2
naughty	2
Ecstatic	2
Shocked	2
jubilant	2
rejected	2
loco	2
Content	2
risueño	2
Cranky	2
guilty	2
Apathetic	2
doux	2
High	2
Numb	2
sensual	2
curioso	2
Devious	2
Full	2
Contento	2
Angry	2
Not Specified	2
enthralled	2
tranquilo	2
frío	2
Dorky	2
Crushed	2
bezaubert	2
clumsy	2
déprimé	2
atontado	2
Royal	2
Blank	2
indescriptible	2
joyeux	2
lebhaft	2
fou	2
azul	2
bewondering	1
Aceptado	1
bittersüß	1
Frío	1
pervers	1
Guilty	1
enjoué	1
accepté	1
bueno	1
Lebhaft	1
rastlös	1
exhausto	1
dragueur	1
wach	1
onbeschrijfelijk	1
vivaz	1
friedlich	1
bon	1
Deprimido	1
Avergonzado	1
Tranquilo	1
glücklich	1
embelesado	1
confus	1
vrolijk	1
Annoyed	1
prächtig	1
coqueto	1
грустное	1
ensam	1
allein	1
borracho	1
emozionato	1
Cold	1
jovial	1
affamato	1
soddisfatto	1
affettuoso	1
elsket	1
logrado	1
Nerdy	1
malinconico	1
leer	1
Frustrated	1
Stressed	1
apacible	1
Indescribable	1
frustrado	1
blanco	1
Pessimistic	1
rejuvenated	1
Solo	1
beschwingt	1
eufórico	1
Entspannt	1
Amato	1
iperattivo	1
gevoelloos	1
förvirrad	1
Chipper	1
Confundido	1
knasig	1
aufgedreht	1
müde	1
Naughty	1
angepisst	1
oké	1
amüsiert	1
Affectueux	1
airado	1
enchanté	1
утомлённое	1
apurado	1
cranky	1
opgewonden	1
Weird	1
moe	1
renovado	1
glad	1
levenslustig	1
Feliz	1
hot	1
ekstatisch	1
geliefd	1
Mellow	1
smart	1
travieso	1
Smart	1
Heureux	1
choqué	1
energetico	1
traurig	1
Surprised	1
éveillé 	1
despierto	1
treurig	1
weary	1
gut	1
cinglé	1
lethargic	1
geliebt	1
ok	1
Relajado	1
Groggy	1
vuoto	1
Aggravated	1
Giddy	1
deprimido	1
Fröhlich	1
