Artist	Occurrences
	2912
Jack & Jack	1700
The Janoskians	994
One Direction	426
U2	398
Justin Bieber	356
Shawn Mendes	261
Ariana Grande	210
5 Seconds of Summer	199
None	185
Taylor Swift	141
Ed Sheeran	141
Katy Perry	78
twenty one pilots	75
Fifth Harmony	74
Drake	74
Selena Gomez	73
Avicii	72
Rihanna	72
ZAYN	68
The 1975	64
Bruno Mars	64
Beyoncé	64
Demi Lovato	64
Troye Sivan	63
Maroon 5	61
The Weeknd	57
Adele	55
Halsey	52
Little Mix	52
Melanie Martinez	52
Calvin Harris	52
Foo Fighters	49
All Time Low	49
Sapphire	46
Imagine Dragons	46
Mariah Carey	45
Justin Timberlake	43
Lana Del Rey	42
Green Day	42
Miley Cyrus	40
Jason Derulo	40
Lorde	39
Coldplay	39
Jacob Whitesides	39
Jake Miller	39
Jack and Jack	38
Ellie Goulding	38
Fall Out Boy	36
5 Seconds Of Summer	36
The Vamps	34
Bea Miller	32
Nicki Minaj	32
Flo Rida	31
Austin Mahone	31
John Legend	31
Red Hot Chili Peppers	30
Meghan Trainor	30
Christina Perri	29
Michael Buble	29
LOU	29
Sia	28
Jack &amp; Jack	28
David Guetta	28
Arctic Monkeys	28
Eminem	27
Connie Talbot	27
Paramore	26
Panic! At the Disco	26
Becky G	24
Kanye West	24
Daniel Skye	23
Janoskians	23
Cody Simpson	23
Avril Lavigne	22
Tove Lo	22
Cameron Dallas	21
Pharrell Williams	21
Charlie Puth	21
Sam Smith	21
Kalin and Myles	20
The Script	20
Faydee	20
Echosmith	20
G-Eazy	19
R5	19
Capital Cities	19
Nick Jonas	19
Prince	19
Disclosure	19
Macklemore & Ryan Lewis	19
Major Lazer	19
Skate	18
Jessie J	18
Alessia Cara	18
The Neighbourhood	18
Various Artists	18
Iggy Azalea	17
Enrique Iglesias	17
OneRepublic	17
Nirvana	17
Britney Spears	17
Chris Brown	17
Queen	17
Kelly Clarkson	17
DJ James Yammouni	16
Zedd	16
Blackbear	16
Carly Rae Jepsen	16
Sam Hunt	16
James Yammouni & In Stereo	16
Kodaline	16
Sammy Wilk	16
Jonas Brothers	16
Bridgit Mendler	15
2007 Winter SM Town	15
Ruth B.	15
Adam Lambert	15
DNCE	15
Lukas Graham	15
Tori Kelly	15
Blink 182	15
The xx	15
American Authors	15
Omi	15
The Chainsmokers	14
Santa Tell Me - Single	14
Twenty One Pilots	14
MKTO	14
The Beatles	14
Oasis	14
My Chemical Romance	14
Sabrina Carpenter	14
Fetty Wap	14
Wiz Khalifa	14
Jason Mraz	13
Usher	13
Beyonce	13
Passenger	13
Blink-182	13
Fabian Reichelt & Raycoux Jr.	13
Kaskade	13
Charli XCX	13
Single Hits 58	13
Pentatonix	13
Cher Lloyd	12
Black Coast	12
Childish Gambino	12
Rae Sremmurd	12
Jessie J, Ariana Grande & Nicki Minaj	12
Purpose (Deluxe)	12
Glee Cast	11
Alicia Keys	11
Mike Posner	11
Bastille	11
Felix Jaehn	11
Melissa Sings	11
Mr. Probz	11
A Great Big World	11
Ke$ha	11
Skrillex & Diplo	11
Lady Gaga	11
The Rolling Stones	11
Madison Beer	10
J. Cole	10
Bring Me the Horizon	10
Panic! At The Disco	10
David Bowie	10
Sleeping With Sirens	10
Josh Woodward	10
Ricky Dillon	10
Neon Trees	10
Chase & Status	10
Snakehips	10
Dharius	9
MGMT	9
Olly Murs	9
Ariana Grande & The Weeknd	9
Big Time Rush	9
DNA: The Deluxe Edition	9
Bryson Tiller	9
All That Remains	9
Moby	9
Big Bang	9
The Wanted	9
Owl City	9
Taylor Swift 	9
Jack and Jack 	9
Hailee Steinfeld	9
the Script	9
Fergie	8
Griffin Tucker	8
Dylan Holland	8
Big Sean	8
The Black Eyed Peas	8
Jack & Jack 	8
Kari Jobe	8
Christina Aguilera	8
Kygo	8
Jhené Aiko	8
Madonna	8
Hoodie Allen	8
The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack)	8
The Maine	8
James Bay	8
JAY Z & Kanye West	8
Black Veil Brides	8
Guns N' Roses	8
Rod Stewart	8
Selena Gomez & The Scene	8
Christmas Songs	8
B.o.B	8
DJ Rupp & Jack & Jack	8
Rixton	8
Rachel Platten	8
Birdy	8
OMI	8
Jeremih	7
Duke Dumont	7
Alli Simpson	7
빅뱅(Big Bang)	7
Blake Shelton	7
Calvin Harris & Disciples	7
Pia Mia	7
Michael Jackson	7
Zara Larsson	7
Clean Bandit	7
Ron Pope	7
Zac Brown Band	7
Tatiana Manaois	7
Two Door Cinema Club	7
TRINITY	7
Adentro	7
Colbie Caillat	7
2Virgins	7
Justice Crew	7
Cashmere Cat	7
Daft Punk	7
Marina and The Diamonds	7
Crystal Fighters	7
Under The Mistletoe	7
Angela	7
Icona Pop	7
Oh Wonder	7
Sigala	7
Trey Songz	7
Luke Bryan	7
Cyndi Lauper	7
Alina Baraz & Galimatias	7
Navidad	7
Confident (Deluxe Edition)	6
Lost Frequencies	6
WALK THE MOON	6
One Republic	6
Lily Allen	6
The Pretenders	6
Bars and Melody	6
Gorgon City	6
Train	6
Hyuna	6
Ingrid Michaelson	6
Tom Odell	6
DJ Snake	6
Better Together	6
AC/DC	6
R. City	6
Mac Miller	6
Joe Brooks	6
gnash	6
The Lumineers	6
Omarion	6
Travie McCoy Feat. Bruno Mars	6
Redlight	6
Of Monsters and Men	6
Pet Shop Boys	6
My Everything (Deluxe)	6
Bullet For My Valentine	6
Alesso	6
Galantis	6
Round2Crew	6
Young Skate & Sammy Wilk	6
Mark Ronson	6
Shawn Mendes & Camila Cabello	6
Bon Jovi	6
McFly	6
Daya	6
Alex & Sierra	6
R. Kelly	6
Passion Pit	6
Deorro & Chris Brown	6
Fun.	6
AVENGED SEVENFOLD	6
Frank Ocean	6
Hillsong UNITED	5
Calvin Harris Ft. Ellie Goulding	5
Tinashe	5
Pearl Jam	5
Skrillex and Diplo	5
Drake Bell	5
Thousand Foot Krutch	5
Kendrick Lamar	5
Drag Me Down - Single	5
Desiigner	5
will.i.am	5
Jay Sean	5
Tyga	5
I Bet My Life	5
Thomas Rhett	5
Ne-Yo	5
Foxes	5
Simple Plan	5
Meek Mill	5
Snow Patrol	5
You Me At Six	5
Rita Ora	5
HAIM	5
Jonah Marais	5
blink-182	5
Redfoo	5
DJ Snake & Lil Jon	5
AC-DC	5
Christina Grimmie	5
Kiesza	5
Rend Collective	5
소녀시대 (Girl's Generation)	5
Silentó	5
Florida Georgia Line	5
50 Cent	5
X Ambassadors	5
Www.AnivelMundial.NeT - Purpose	5
Paul McCartney	5
Jonas Blue	5
Against The Current	5
John Mayer	5
The Fray	5
Best Coast	5
Marianas Trench	5
Hozier	5
Red Hot Chilli Peppers	5
BØRNS	5
Boys Like Girls	5
LMFAO	5
Black Eyed Peas	5
Nico & Vinz	5
Rascal Flatts	5
Guardians of the Galaxy (Deluxe)	5
Hillsong	5
Hollie Steel	5
Mahogany Lox	5
Red	5
Zendaya	5
Bon Iver	5
Shakira	5
P!nk	5
Not a Bad Thing - Single	5
Oh Honey	5
The Killers	5
The Strokes	5
Union J	5
Pitbull	5
Conor Maynard	5
SoMo	5
SafetySuit	5
Kat Dahlia	5
AlunaGeorge	4
Foals	4
Kylie Minogue	4
Noisettes	4
Tegan and Sara	4
Led Zeppelin	4
James Taylor	4
The Pussycat Dolls	4
Maroon 5 	4
Elle King	4
James Blunt	4
The Piano Guys	4
a-ha	4
Demi Lovato 	4
Ginuwine	4
Drake & Future	4
Glee: The Music, The Christmas Album, Vol. 3	4
Journey	4
G-Eazy x Bebe Rexha	4
Yo Gotti	4
Sean Paul	4
포미닛(4minute)	4
Elvis Presley	4
Sum 41	4
Kid Ink	4
Dawin	4
Samsung	4
Radiohead	4
Sunrise Avenue	4
The Summer Set	4
Smash Mouth	4
Barei	4
Nickelback	4
Jose Feliciano	4
Love in the Future	4
Benny Benassi	4
Regina Spektor	4
After School	4
AWOLNATION	4
Hilary Duff	4
Trivium	4
Justin Bieber & Mariah Carey	4
Reed Deming	4
Karmin	4
Milky Chance	4
Hillsong United	4
Trevor Moran	4
Brand Music	4
Florence + The Machine	4
Jess Glynne	4
Christmas & Chill - EP	4
Listen (Deluxe Version)	4
Andy Grammer	4
Justin Bieberr	4
Third Eye Blind	4
The Black Keys	4
Nelly	4
Panic! at the Disco	4
Counting Crows	4
Nashville Cast	4
M83	4
에일리	4
Empire of the Sun	4
The Cure	4
Mumford & Sons	4
Brandon Skeie	4
Borgore	4
Kenny Holland	4
Years &amp; Years	4
Here We Go Again	4
Muse	4
A Rush of Blood to the Head	4
Armin van Buuren	4
Shwayze	4
The Clash	4
Made in the A.M. (Deluxe Edition)	4
Wilkinson	4
These Are Special Times	4
Weezer	4
투에니원	4
Zara Larsson &amp; MNEK	4
Pink Floyd	4
Grace	4
Years & Years	4
Brett Eldredge	4
T-Wayne	4
Backstreet Boys	4
Kings of Leon	4
Madcon	4
MAGIC!	4
Israel Kamakawiwo'ole	4
Whitney Houston	4
The Kooks	4
Barbie	4
Elton John	4
The Corrs	4
Major Lazer & DJ Snake	4
Ricky Martin	4
The Verve	4
Matt Corby	4
Maluma	4
Gnash	4
V	4
Idina Menzel	4
Prince Royce	4
La Douche	3
George Ezra	3
Yo La Tengo	3
씨스타19	3
AJR	3
Onision	3
Joel Adams	3
Kwabs	3
Billboard Hot 100	3
Made in the A.M.	3
The Offspring	3
Holiday Bundle	3
Jesse McCartney	3
Hillsong Live	3
The All-American Rejects	3
Linkin Park	3
Coldplay feat.Avicii	3
Catfish and the Bottlemen	3
Dove Cameron	3
Hunter Hayes	3
AURORA	3
The Police	3
Joey Graceffa	3
Marilyn Manson	3
Hannah Montana	3
Christmas	3
Jack Johnson	3
Chicane	3
Demi Lovato-MuSiCaCeNtRaL.CoM & ReLoADeD69.NeT	3
Morgan Page	3
Zara Larsson & MNEK	3
Afrojack	3
Conrad Sewell	3
The Monkees	3
Banks	3
Tracy Chapman	3
Little Sea	3
Last Dinosaurs	3
Migos	3
Loggins & Messina	3
Phil Collins	3
Jared Evan	3
Shwayze & Cisco	3
Destiny's Child	3
Mylo Xyloto	3
Bryan Cox & Sergio Pardo	3
Shawn Mendes &amp; Camila Cabello	3
Europe	3
Carly Rae Jepsen & Justin Bieber	3
Taio Cruz	3
Cee Lo Green	3
Grimes	3
Edward Sharpe & The Magnetic Zeros	3
EDX	3
Phillip Phillips	3
Basement Jaxx	3
Cat Power	3
JAY Z	3
Aerosmith	3
Sofia Karlberg	3
Michael Jackson & Justin Timberlake	3
DJ Rupp & Sammy & Skate	3
Cascada	3
Made In The A.M. (Deluxe Edition)	3
Daniel Skye Feat. Cameron Dallas	3
ODESZA	3
Andrea Balency	3
A$AP Rocky	3
Keith Urban	3
Scouting for Girls	3
Ben Haenow	3
Justin Bieber Feat. Boyz II Men	3
Anastasia Richardson	3
LA BANDA TIMBIRICHE	3
Kasabian	3
SelenaGomezVEVO	3
Cage the Elephant	3
Vance Joy	3
Evanescence	3
Shaggy	3
Never Shout Never	3
The Girl and The Dreamcatcher	3
Johnny Nash	3
Talking Heads	3
Darius Rucker	3
The Associates	3
Asking Alexandria	3
Shannon Saunders	3
Jessie Ware	3
Kolohe Kai	3
50 cent	3
Last Christmas - Single	3
Gotye ft. Kimbra	3
Mike Snow	3
Amber Run	3
Take Me Home	3
East India Youth	3
Robin Thicke (feat. T.I. & Pharrell)	3
Disclosure feat. Sam Smith 	3
Cars Original Soundtrack	3
Peace	3
Fun	3
Reik	3
PURPOSE	3
Sub Focus	3
James Hersey	3
The Eagles	3
1989 (Deluxe)	3
Alan Walker	3
Emblem3	3
Yannick Bovy	3
Jolie Holland	3
T.I. ft. Eminem	3
Mako	3
Bob Dylan	3
Skrillex	3
Lady GaGa	3
Sarah McLachlan	3
New Order	3
Steve Martin & The Steep Canyon Rangers	3
Jessie J/Ariana Grande/Nicki Minaj	3
Hotline Bling - Single	3
mp3lio.com	3
The Cab	3
Jay-Z	3
Nneka	3
Karate Kid	3
Fleetwood Mac	3
神偷奶爸2 电影原声带 Despicable Me 2 (Original Motion Picture Soundtrack)	3
Boyce Avenue	3
Daughtry	3
 Believe (Deluxe Edition)	3
Eminem & Linkin Park	3
(Www.HonduMusic.Com)	3
Snoop Dogg	3
The Next Step	3
Michael Bublé	3
Aqua	3
Tinie Tempah	3
The Smiths	3
Sammy & Skate	3
Pink	3
Jai Waetford	3
Alex Clare	3
Sara Bareilles	3
Black Sabbath	3
Zayn Malik	3
Stephen Swartz	3
Alex Gaudino featuring Crystal Waters	3
Katy Tiz	3
Iyaz	3
MaterialMusicDownloader	3
Estelle	3
Lil Wayne	3
Hey Violet	3
Van Morrison	3
Paul Simon	3
Nero	3
The Paper Kites	3
Alien24	3
Daughter	3
Falling In Reverse	3
Morning Parade	3
Majid Jordan	3
Tokio Hotel	2
A Great Big World & Christina Aguilera	2
Tyga & Justin Bieber	2
Pixies	2
01	2
Right Said Fred	2
Taylor Henderson	2
Ty Dolla $ign	2
As It Is	2
Lia Marie Johnson	2
Merry Christmas	2
Adel Tawil	2
Frank Turner	2
JC Caylen	2
Alt-J	2
Gaither Vocal Band	2
Ester Dean	2
Steve Aoki, Chris Lake & Tujamo	2
Evil Ebenezer	2
Robbie Williams	2
Three Days Grace	2
Bliss n Eso	2
Oliver Heldens	2
Andrej Markovic	2
Good Charlotte	2
Clean Bandit & Jess Glynne	2
5SOS	2
Rihanna feat. Calvin Harris	2
EverythingEquine	2
Jack Peñate	2
Kill it Kid	2
BORNS	2
Wavves	2
Telly Leung & Godspell Ensemble	2
Bryce Vine	2
fun. ft. Janelle Monáe	2
Bob Marley	2
Donnie Trumpet & The Social Experiment	2
Kevin Gates	2
Kirk Franklin	2
Foster The People	2
Mutemath	2
Midnight Memories (The Ultimate Edition)	2
John Martin	2
All The Little Lights	2
Title - EP	2
Believe - Single	2
Petrichorus	2
Belle and Sebastian	2
Alexi Murdoch	2
All About That Bass (Maejor Remix)	2
Labrinth	2
Future	2
Lenny Kravitz	2
Amy Winehouse	2
katy perry	2
2NE1 (투애니원)	2
McBusted	2
Christmas Kisses - EP	2
Klingande	2
Neon Indian	2
Silverstein	2
INNA	2
Chris Brown X Tyga	2
Sixpence None the Richer	2
Lifehouse	2
Al Green	2
Four	2
The Good Mad	2
Johnny Cash	2
All American Rejects	2
Blonde	2
Switchfoot	2
ACDC	2
Superfly	2
Ross Lynch, Maia Mitchell	2
Despicable Me 2 (Original Motion Picture Soundtrack)	2
Nathan Sykes	2
Manu Chao	2
Basement	2
Carole King & James Taylor	2
Big Data	2
Santigold	2
Bingo Players	2
David Archuleta	2
Los Peces en el Río (Instrumental) - Single	2
BOY	2
Hurts	2
Selena Gomez Ft. ASAP Rocky	2
Karaoke Pro	2
Brandon Heath	2
The Rubens	2
Annie Lennox	2
DJ Fresh	2
Kings Of Leon	2
Twenty One Piltots	2
I Know What You Did Last Summer - Single	2
Nine Inch Nails	2
Christmas - God with Us	2
Axwell Λ Ingrosso	2
Robin Thicke Ft. T.I. & Pharrell	2
Disney Karaoke Series: Christmas Favorites	2
MP3HIP.com	2
Kid British	2
Globalization	2
Owl City & Carly Rae Jepsen	2
Henry Mancini and His Orchestra	2
Mayday Parade	2
Alina Baraz &amp; Galimatias	2
Walk The Moon	2
What Do You Mean?	2
Ariana Grande, The Weeknd 	2
G-Eazy/Devon Baldwin	2
ArianaGrandeVevo	2
Azizi Gibson	2
Troye Sivan ft. Broods	2
Frank Sinatra	2
Prism (Deluxe Edition)	2
Emilia De Poret	2
Carpenters	2
Otis Redding	2
In the Lonely Hour	2
Sounds Good Feels Good	2
Ghost Stories	2
Skrillex, Justin Bieber &amp; Diplo	2
Lewis Watson	2
TWENTY88	2
UrbanMusicHQ.se	2
Cant feel my face	2
Chase Atlantic	2
Unreleased	2
Dirty Work	2
TCTS	2
Fountains Of Wayne	2
MisterWives	2
Dr. Dre	2
Meg & Dia	2
Sean Kingston	2
소녀시대	2
Guy Sebastian	2
Panic At The Disco	2
Kelis	2
CeeLo Green	2
Anarbor	2
Joe Jackson	2
Natalie La Rose	2
Tomorrowland 2012	2
PARTYNEXTDOOR	2
Nao	2
Eric Benét	2
Ross Lynch	2
Joan Baez	2
Wu-Tang Clan	2
Reece Mastin	2
Jack And Jack	2
NAO	2
Revival (Deluxe)	2
Don Diablo	2
Unknow	2
Sebastian Ingrosso, Tommy Trash & John Martin	2
Purpose	2
ZHU	2
Uzo Aduba & Godspell Ensemble	2
MIKA	2
Reba McEntire	2
Lady & Bird	2
We The Kings	2
Chris Isaak	2
John Lennon & Yoko Ono/Plastic Ono Band	2
T.I.	2
I Love You	2
Shift K3Y	2
Blitzen Trapper	2
Toto	2
I - The 1st Mini Album	2
ELISA	2
X	2
Marron 5	2
Animals	2
Kid Cudi	2
Flight Facilities	2
The Turtles	2
Inna	2
Pierce The Veil ft. Kellin Quinn	2
Flume	2
Charlie's Angels Full Throttle	2
Matt and Kim	2
Nico &amp; Vinz	2
Akon	2
Sara Evans	2
Will Young	2
Native	2
Martin Garrix vs. Matisse & Sadko feat. ID	2
Middle (feat. Bipolar Sunshine)	2
Paloma Faith	2
Naughty Boy	2
Gazzo	2
La Roux	2
Martin Garrix	2
Alex G & Peter Hollens	2
Jhene Aiko	2
태연 (Taeyeon)	2
Barrington Levy	2
ABBA	2
Krewella	2
MyLifeAsEva	2
Summer	2
Gorillaz 	2
Sorry	2
Lemonade	2
SOJA	2
Juan Luis Guerra	2
Foster the People	2
Blood On the Dance Floor	2
Metallica	2
Cheerleader (Felix Jaehn Remix Radio Edit) - Single	2
(Www.FlowHoT.NeT)	2
A Day To Remember	2
Tom Rosenthal	2
3OH!3	2
Newsboys	2
Maps - Single	2
Ben Howard	2
05 Rita Ora	2
MAX	2
Plumb	2
Joel Fletcher & Savage	2
The XX	2
John Lennon	2
DJ Khaled	2
Metro Station	2
Nicholas Jonas	2
jack and jack	2
Kehlani 	2
Prince & The Revolution	2
Nico and Vinz	2
Marian Hill	2
Good Kid M.A.A.D City (Deluxe Edition)	2
Yours Truly	2
Dire Straits	2
Don't Stop - EP	2
G Eazy	2
Bella Thorne	2
Willie Nelson	2
Under the Mistletoe [CD/DVD] [Deluxe Edition] Disc 1	2
One Direction :: Teh-Music.Com ::	2
Styles P	2
S Club 7	2
Nicki Minaj & Rihanna	2
2011 SM Town Winter (The Warmest Gift)	2
Ellie Goulding 	2
Justin Bieber 	2
LINKIN PARK	2
FOUR (Deluxe)	2
Joy to the World	2
Dash Berlin	2
Focus - Single	2
Jake Owen	2
Donnie Trumpet &amp; The Social Experiment	2
Tupac	2
Royalty Free Sound Effects Factory	2
Camila	2
Wheatus	2
Focus	2
Erica Sunn	2
Daniela Andrade	2
Grace Mitchell	2
Rick Astley	2
Jason Chen	2
Justin Bieber Feat. Busta Rhymes	2
Samra	2
Envy	2
Death Cab for Cutie	2
Avenged Sevenfold	2
Dido	2
Rajiv Dhall	2
Hedley	2
Yumi Zouma	2
Samantha Jade	2
